identificador_boe,usage_type,usage_reason,source_reference
BOE-A-2022-23752,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2022-24383,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2022-24403,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2022-24404,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2022-24405,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2022-24406,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-10297,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-10301,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-10303,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1935,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1936,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1939,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1941,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1942,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
BOE-A-2023-1943,pilot,Used in the 100-document pilot for development and validation of the extraction pipeline.,data/silver/boe_ai/pilot_sample_100.parquet
